UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	0
0	18
6	0
0	2
0	7
38	0
0	139
0	151
0	0
0	24
0	0
0	1
24	91
0	0
77	0
0	187
0	4
0	148
37	3
0	5
8	55
0	0
75	2
1	31
0	0
36	2
1	1
41	1
121	2
75	0
39	0
20	2
5	0
169	0
9	70
3	0
0	30
1	0
107	0
2	26
0	0
0	40
0	8
38	1
8	2
0	70
0	69
86	48
74	3
0	0
110	0
0	23
8	0
35	0
31	0
19	2
59	0
43	0
69	0
29	0
16	0
3	187
0	55
0	2
14	40
0	1
0	1
17	30
12	0
0	0
21	0
0	0
14	0
33	0
55	2
35	0
54	0
103	0
47	2
41	0
28	0
42	0
22	2
13	0
7	0
42	0
0	0
59	0
18	0
34	0
17	0
15	0
56	0
17	0
24	0
53	1
0	0
19	0
118	2
6	0
7	0
6	0
11	1
4	0
28	0
1	0
2	0
16	0
0	5
0	2
55	3
6	24
1	7
0	0
13	18
0	0
0	91
35	8
1	151
6	4
6	69
8	0
0	0
0	66
55	0
32	2
28	0
25	0
13	0
71	0
0	0
0	0
3	31
23	139
74	148
0	25
0	24
0	0
4	4787
491	10592
2103	133
9438	11
1050	4750
2	10549
1372	220
155	624
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1670	4744
0	1522
0	34
471	10420
644	5703
11	6405
0	3879
214	685
0	2491
2920	1
983	14033
202	8120
467	934
16	1522
6852	14038
0	910
3953	555
139	537
4	0
149	1719
0	1681
0	31
0	34
144	749
295	2207
2	2491
10333	52
2	10
0	7
0	1
210	4
0	276
0	0
0	0
46	0
9	0
0	0
0	0
7	34
89	0
0	0
52	1
0	22
14	0
0	2
8	1
1	138
3	256
116	26
2	343
0	0
9	8
88	28
0	0
16	0
0	132
9	3
0	9
1	0
0	0
0	140
6	267
0	141
0	4
141	14
0	0
0	85
0	50
0	32
0	6
145	11
0	210
6	0
86	0
0	0
0	0
0	80
84	28
3	81
1	1
96	10
0	0
192	205
53	5
0	208
51	0
0	94
287	0
0	51
256	0
2	0
264	3
0	0
9	0
721	5
68	4
4	4
63	3
104	5
760	41
18	88
371	125
156	3
136	4
855	38
12	3
57	5
118	2
0	294
55	103
20	33
0	198
2	12
0	568
0	2
0	1
0	138
0	0
0	343
0	0
0	140
0	22
76	199
20	9
0	4
0	132
